NORMALIZED LAT,NORMALIZED LONG,Tester, Location ID,Census 2010 Designation, Date, Time, Provider, Operator, Network,Round 5 Coverage, Latitude, Longitude, Device ID, Client Type, ePktMin, ePktAvg, ePktLoss, wPktMin, wPktMax, wPktAvg, wPktLoss, wUDP Jitter1, wUDP Loss1, wUDP Period1, wUDP Jitter2, wUDP Loss2, wUDP Period2, wUDP Jitter3, wUDP Loss3, wUDP Period3, eUDP Jitter1, eUDP Loss1, eUDP Period1, eUDP Jitter2, eUDP Loss2, eUDP Period2, eUDP Jitter3, eUDP Loss3, eUDP Period3, wUDP Jitter4, wUDP Loss4, wUDP Period4, eUDP Jitter4, eUDP Loss4, eUDP Period4,wTCP_UP1, wTCP_DOWN1, eTCP_UP1, eTCP_DOWN1, wTCP_UP2, wTCP_DOWN2, eTCP_UP2, eTCP_DOWN2
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:48:16,Verizon, Verizon, EHRPD,IN,33.847724,-116.536183,99000024381651, Phone,136.703,161.627,0,76.949,129.861,101.836,0,14.811,0,1,13.267,0,1,18.222,0,1,17.878,0,1,13.567,0,1,19.597,0,1,14.945,0,5,391.203,0,5,977,996,911,1042,790,917,918,814
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:57:45,Verizon, , NA,IN,33.84776,-116.536012, WBBDTest8, Netbook,131,152,0,80,115,97,0,11.588,0,1,18.171,0,1,13.415,0,1,15.999,0,1,15.769,0,1,14.007,0,1,17.796,0,5,16.275,0,5,1026,975,977,991,871,1010,1011,962
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:47:17,Sprint, , NA,IN,33.847775,-116.536008, WBBDTest8, Netbook,137,154,0,68,184,112,0,18.379,0,1,16.575,0,1,19.123,2,1,16.214,0,1,16.489,0,1,14.206,0,1,17.406,0,5,18.314,0,5,1045,1559,925.2,1619,909,926,705.5,1482
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:52:11,T-Mobile, , NA,IN,33.847757,-116.536007, WBBDTest8, Netbook,118,365,0,58,1449,325,0,22.847,0,1,6.847,0,1,3.553,0,1,4.887,0,1,5.801,0,1,4.418,0,1,7.994,0,5,9.908,0,5,604.6,2129,923,1726,491.3,1726,340.7,1223
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 16:01:14,AT&T, , NA,IN,33.847753,-116.536003, WBBDTest8, Netbook,149,256,0,92,941,288,0,14.093,2,1,11.024,0,1,13.049,0,1,17.764,0,1,9.972,0,1,17.389,2,1,10.677,0,5,8.537,0.8,5,947,1818,1222,1122,884,1358,1237,1686
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:52:18,Sprint, Sprint, EVDO,IN,33.84771824,-116.5359896, A100001BAA3FC1, Phone,137.635,165.304,0,119.446,314.209,170.898,10,19.228,0,1,14.934,2,1,14.862,0,1,20.477,2,1,14.842,0,1,18.332,0,1,20.223,0,5,16.666,0,5,873,1969,849,1956,889,1593,799,1242
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:47:56,AT&T, AT&T, UMTS,IN,33.84774005,-116.535975,358347040925862, Phone,152.371,186.208,0,180.947,231.525,204.887,0,13.637,0,1,8.607,0,1,7.371,0,1,11.784,0,1,14.205,0,1,17.892,0,1,8.882,0.8,5,10.708,0,5,776,2749,764,2278,451.3,2328,755,2222
33.84776125,-116.536,8,1001,Tribal, 05/15/2012, 15:47:43,T-Mobile, T-Mobile, HSPA,IN,0,0,359605043208118, Phone,119.751,152.038,0,62.012,1417.45,389.178,0,15.408,0,1,3.538,0,1,5.468,0,1,16.85,0,1,22.185,0,1,6.344,0,1,4.743,0,5,12.777,0,5,1385,4003,1927,5666,1664,3617,2010,4689
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:22:24,T-Mobile, T-Mobile, HSPA,IN,33.76866278,-116.5413394,359605043208118, Phone,141.114,484.305,0,62.591,1297.76,360.037,0, NA, NA,1, NA, NA,1, NA, NA,1,6.141,0,1,6.63,0,1,5.994,0,1, NA, NA,5,10.113,0,5,920,2480,902,4524,828,3125, connect_error2, connect_error2
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:21:49,AT&T, , NA,IN,33.768682,-116.541287, WBBDTest8, Netbook,160,171,0,85,132,106,0, NA, NA,1, NA, NA,1, NA, NA,1,16.634,0,1,6.775,0,1,6.572,2,1, NA, NA,5,7.238,0,5,605,2690,835,2096,669,2541,870,2015
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:31:02,Verizon, , NA,IN,33.768675,-116.541268, WBBDTest8, Netbook,132,155,0,74,846,172,0, NA, NA,1, NA, NA,1, NA, NA,1,9.436,0,1,10.525,0,1,11.383,0,1, NA, NA,5,18.049,0,5,687,862,641,754,474,766,305.2,705
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:31:42,AT&T, AT&T, UMTS,IN,33.768683,-116.541264,358347040925862, Phone,148.221,183.685,0,85.757,127.627,100.463,0, NA, NA,1, NA, NA,1, NA, NA,1,13.825,0,1,10.397,0,1,19.598,0,1, NA, NA,5,13.361,0,5,1124,3885,1211,3543,1097,4418, connect_error2, connect_error2
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:37:45,Sprint, , NA,IN,33.768677,-116.541263, WBBDTest8, Netbook,124,288,0,68,210,106,0, NA, NA,1, NA, NA,1, NA, NA,1,14.575,0,1,9.666,0,1,13.596,0,1, NA, NA,5,14.979,0,5,290.9,218.8,417.5,153.5,471.6,276.9,580.9,245.2
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:45:57,T-Mobile, , NA,IN,33.768677,-116.541263, WBBDTest8, Netbook,122,321,0,67,2231,428,0, NA, NA,1, NA, NA,1, NA, NA,1,23.89,0,1,14.566,0,1,6.875,0,1, NA, NA,5,3.79,0,5,533.7,1305,1275,2147,1048,1782,1265,1918
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:22:01,Sprint, Sprint, EVDO,IN,33.84771824,-116.5359896, A100001BAA3FC1, Phone,148.193,171.981,0,137.177,278.077,211.047,0, NA, NA,1, NA, NA,1, NA, NA,1,39.729,0,1,14.503,0,1,14.067,0,1, NA, NA,5,17.571,0.4,5,396.8,225.3,164.8,184.3,275,235.3, connect_error2, connect_error2
33.76867775,-116.5413,8,1002,Tribal, 05/15/2012, 16:22:38,Verizon, Verizon, EHRPD,IN,0,0,99000024381651, Phone,152.446,172.106,0,94.375,647.249,204.245,0, NA, NA,1, NA, NA,1, NA, NA,1,20.598,0,1,16.16,0,1,23.199,0,1, NA, NA,5,19.574,0,5,1024,1083,937,670,822.4,497, connect_error2, connect_error2
41.47987175,-120.5245,2,1003,Tribal, 05/11/2012, 08:51:37,Sprint, , 1xRTT,IN,41.479864,-120.524531, A100001BAA3D70, Phone, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
41.47987175,-120.5245,2,1003,Tribal, 05/11/2012, 08:46:52,T-Mobile, , UNKNOWN,OUT,41.47988,-120.524504,359605043237521, Phone, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
41.47987175,-120.5245,2,1003,Tribal, 05/11/2012, 08:59:13,Verizon, , NA,IN,41.479868,-120.52448, WBBDTest2, Netbook,150,166,0,70,132,91,0,8.118,0,1,9.413,0,1,10.5,0,1,10.4,0,1,10.993,0,1,10.122,0,1,7.627,0,5,11.904,0,5,1038,1157,1034,1181,1052,1181,1033,1122
41.47987175,-120.5245,2,1003,Tribal, 05/11/2012, 09:04:23,T-Mobile, , NA,OUT,41.479862,-120.524475, WBBDTest2, Netbook, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
41.47987175,-120.5245,2,1003,Tribal, 05/11/2012, 08:53:25,AT&T, , NA,IN,41.47989,-120.524473, WBBDTest2, Netbook,145,154,0,77,129,96,0,11.847,0,1,12.092,0,1,10.453,0,1,8.431,0,1,13.77,0,1,10.763,2,1,14.049,0,5,12.974,0,5,1208,1813,1265,1870,1281,2021,1252,1902
