NORMALIZED_LAT,NORMALIZED_LONG,Tester, Location_ID,Census 2010 Designation, Date, Time, Provider, Operator, Network,Round6_Coverage, Latitude, Longitude, Device ID, Client Type, ePktMin, ePktMax, ePktAvg, ePktLoss, wPktMin, wPktMax, wPktAvg, wPktLoss, wUDP Jitter1, wUDP Loss1, wUDP Period1, wUDP Jitter2, wUDP Loss2, wUDP Period2, wUDP Jitter3, wUDP Loss3, wUDP Period3, eUDP Jitter1, eUDP Loss1, eUDP Period1, eUDP Jitter2, eUDP Loss2, eUDP Period2, eUDP Jitter3, eUDP Loss3, eUDP Period3, wUDP Jitter4, wUDP Loss4, wUDP Period4, eUDP Jitter4, eUDP Loss4, eUDP Period4,wTCP_UP1, wTCP_DOWN1, eTCP_UP1, eTCP_DOWN1, wTCP_UP2, wTCP_DOWN2, eTCP_UP2, eTCP_DOWN2
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:15:03,AT&T, , NA,In,33.847767,-116.535932, WBBDTest8, Netbook, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:04:22,AT&T, , UNKNOWN,In,33.847814,-116.53591,359691045708495, Phone,164.962,360.69,241.23,0,122.265,276.667,175.458,0,12.293,0,1,7.032,5.9,1,8.875,0,1,12.685,0,1,12.43,0,1,19.733,0,1,15.43,0,5,20.078,0,5,1139,1947,1104,2324,1118,1909,973,2072
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:03:21,Sprint, , NA,In,33.847775,-116.535933, WBBDTest8, Netbook,350,563,395,30,234,2683,1107,60,52.721,0,1,18.304,0,1,16.415,0,1,13.929,0,1,14.416,0,1,16.775,0,1,12.371,0,5,15.2,0,5, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:19:36,Sprint, Sprint, EVDO,In,33.847775,-116.535933, A100001BAA3FC1, Phone,161.072,321.991,222.781,0,138.489,209.931,157.467,0,33.007,0,1,17.435,0,1,20.288,0,1,19.159,0,1,18.676,0,1,18.582,0,1,19.848,0,5,45.618,2,5,616,708,492.6,839,685,952,700,971
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:18:54,T-Mobile, , NA,In,33.847765,-116.535928, WBBDTest8, Netbook,96,1437,321,0,46,2617,386,0,11.361,0,1,6.11,0,1,5.101,0,1,8.989,0,1,8.783,0,1,6.379,0,1,7.189,0,5,6.91,0,5,1769,1446,1322,1077,1415,1628,1389,1646
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:04:09,T-Mobile, T-Mobile, HSPA,In,33.8477953,-116.5359451,359605043208118, Phone,119.873,1799.713,513.836,0,47.852,1582.459,400.201,0,14.76,0,1,7.922,0,1,11.702,0,1,9.247,0,1,7.451,0,1,8.951,0,1,9.936,0,5,8.893,0,5,1133,7863,2258,7334,1272,5390,943,3541
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:22:01,Verizon, , NA,In,33.847762,-116.535937, WBBDTest8, Netbook,135,159,149,0,45,145,61,0,6.979,0,1,8.728,0,1,5.784,0,1,9.497,0,1,10.609,0,1,9.698,0,1,9.233,0,5,10.702,0,5,11683,9255,10493,8435,14093,8375,10554,7227
33.84776125,-116.536,Tester 8,1001,Tribal, 10/11/2012, 16:03:45,Verizon, , UNKNOWN,In,33.847801,-116.535914,99000024381651, Phone,139.067,209.916,159.258,0,46.167,94.157,56.28,0,31.968,0,1,8.151,0,1,15.321,0,1,19.937,0,1,19.35,0,1,20.226,0,1,9.735,0,5,13.955,0,5,6921,7222,5046,6757,4092,9097,6098,7616
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:29:00,AT&T, , NA,In,33.76869,-116.541317, WBBDTest8, Netbook,153,385,289,0,78,131,101,0,29.32,20,1,21.368,2,1,16.521,0,1,21.605,9.8,1,14.335,0,1,26.657,0,1,23.515,0,5,10.569,0,5,1211,192.3,1109,200.6,1049,180.2,1228,149.5
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:20:49,AT&T, AT&T, HSPA,In,33.76870639,-116.5413646,359691045708495, Phone,180.589,276.575,228.954,0,96.292,422.951,171.262,0,12.077,0,1,11.093,0,1,10.463,0,1,9.738,2,1,11.03,2,1,12.565,0,1,5.492,0,5,21.633,0,5,277.7,0,754,354.4,341.7,127.4,244.1,182.6
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:34:44,Sprint, , NA,In,33.768683,-116.541307, WBBDTest8, Netbook, NA, NA, NA,100,299,1539,919,80,57.057,0,1,31.872,0,1,227.353,0,1,35.202,0,1,29.305,0,1,199.562,0,1,37.606,0,5, NA, NA,5, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:20:53,Sprint, Sprint, EVDO,In,33.768683,-116.541307, A100001BAA3FC1, Phone,210.998,492.035,323.959,0,157.501,779.053,310.278,0,14.898,0,1,20.691,0,1,23.264,0,1,25.728,0,1,48.755,0,1,39.411,0,1,19.05,0.4,5,19.842,0.8,5, timeout, timeout,227.1,114.8,489,264.8,667,453.9
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:25:04,T-Mobile, , NA,In,33.768675,-116.541302, WBBDTest8, Netbook,107,1274,353,0,48,1243,280,0,16.256,0,1,3.432,0,1,2.93,0,1,9.541,0,1,11.117,0,1,15.152,0,1,4.455,0,5,9.73,0,5,531,685,488.4,726,591.4,897,607,1133
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:20:18,T-Mobile, T-Mobile, HSPA,In,33.76857652,-116.5412225,359605043208118, Phone,119.995,2266.083,704.87,0,47.547,1384.125,357.052,0,11.873,0,1,4.526,0,1,3.176,0,1,16.949,0,1,10.177,0,1,10.317,0,1,5.38,0,5,16.284,0,5,919,2283,501,3687,183,0,101.3,2587
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:19:19,Verizon, , NA,In,33.751042,-116.443617, WBBDTest8, Netbook,163,205,183,0,46,63,54,0,16.106,0,1,10.152,0,1,8.956,0,1,19.848,0,1,19.063,0,1,17.189,0,1,15.164,0,5,14.979,0,5,605,846,248.3,1574,186.9,668,230.4,2661
33.76867775,-116.5413,Tester 8,1002,Tribal, 10/11/2012, 15:30:40,Verizon, , UNKNOWN,In,33.751042,-116.443617,99000024381651, Phone,107.859,159.351,119.649,0,49.277,136.802,65.005,0,14.064,0,1,10.754,0,1,11.851,0,1,8.583,0,1,12.73,0,1,10.305,0,1,10.156,0,5,10.323,0,5,1524,9508,1542,6448,1044,6748,1105,4726
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:40:56,AT&T, , NA,In,41.478055,-120.524347, WBBDTest3, Netbook,146,194,159,0,64,115,83,0,8.728,0,1,8.363,0,1,12.369,0,1,18.567,0,1,12.198,0,1,12.499,3.9,1,9.823,0,5,7.658,0,5,1272,3206,1202,2751,1258,2701,1272,2570
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:43:11,AT&T, AT&T, HSPA,In,41.47799332,-120.5244237,359691045810705, Phone,141.889,203.387,171.661,0,155.044,214.528,182.975,0,7.828,0,1,12.038,3.9,1,10.958,0,1,11.627,0,1,10.927,0,1,13.749,0,1,11.07,0,5,11.939,0.4,5,1173,2627,1191,2557,1198,1798,1201,2015
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:46:55,Sprint, , NA,Out,41.478052,-120.524345, WBBDTest3, Netbook,426,501,445,0,469,717,501,0,9.553,0,1,9.369,0,1,13.627,0,1,11.667,0,1,10.737,0,1,9.121,0,1,11.258,0,5,9.328,0,5,234.7,73.8,277.2,65.2,242.6,112.4,293.1,85.5
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:37:56,Sprint, Sprint, EVDO,Out,41.47803962,-120.5243593, A100001BAA3D36, Phone,611.358,1143.89,814.123,0,665.619,680.237,672.867,0,8.262,0,1,6.706,0,1,10.263,0,1,9.542,0,1,9.927,0,1,21.236,0,1,8.412,0,5,17.184,0,5,182.2,67.5,239.7,53.7,234.4,55.2,241.9,63.6
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:44:12,T-Mobile, , NA,Out,41.478052,-120.524345, WBBDTest3, Netbook, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
