NORMALIZED_LAT,NORMALIZED_LONG,Tester, Location_ID,Census 2010 Designation, Date, Time, Provider, Operator, Network,Round 7 Coverage,Latitude, Longitude, Device ID, Client Type, ePktMin, ePktMax, ePktAvg, ePktLoss, wPktMin, wPktMax, wPktAvg, wPktLoss, wUDP Jitter1, wUDP Loss1, wUDP Period1, wUDP Jitter2, wUDP Loss2, wUDP Period2, wUDP Jitter3, wUDP Loss3, wUDP Period3, eUDP Jitter1, eUDP Loss1, eUDP Period1, eUDP Jitter2, eUDP Loss2, eUDP Period2, eUDP Jitter3, eUDP Loss3, eUDP Period3, wUDP Jitter4, wUDP Loss4, wUDP Period4, eUDP Jitter4, eUDP Loss4, eUDP Period4,wTCP_UP1, wTCP_DOWN1, eTCP_UP1, eTCP_DOWN1, wTCP_UP2, wTCP_DOWN2, eTCP_UP2, eTCP_DOWN2
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 12:57:01, AT&T, , NA,In,33.847767,-116.536028, WBBDTest8, Netbook,145,223,175,0,78,158,108,0,10.356,0,1,14.621,0,1,9.75,0,1,16.384,0,1,22.597,0,1,17.546,0,1,14.071,0,5,14.166,0,5,1282,1867,1184,758,1249,923,1267,1016
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 12:58:25, AT&T, AT&T, HSPA,In,33.84778742,-116.536006,359691045708495, Phone,137.372,259.454,177.979,0,148.726,411.689,219.777,0,12.429,0,1,10.526,0,1,14.113,0,1,13.772,2,1,13.65,0,1,11.544,2,1,7.707,0,5,19.661,0,5,947,393.8,1065,303.4,1134,606,1146,736
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 13:01:47, Sprint, , NA,In,33.847742,-116.536007, WBBDTest8, Netbook,143,193,167,0,80,276,125,0,13.118,0,1,13.845,3.9,1,10.665,0,1,12.676,0,1,13.955,0,1,15.007,0,1,21.198,0,5,17.315,0,5,742.9,1116,810.2,1511,1065.7,1437,1017,1088
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 12:58:32, sprint, Sprint, EVDO,In,33.84777725,-116.5360272, A100001BAA3FC1, Phone,139.496,180.908,159.866,0,147.827,290.71,207.18,0,18.448,0,1,17.29,0,1,21.107,0,1,19.379,0,1,17.386,0,1,23.737,0,1,20.669,0.8,5,22.957,0,5,889,119.9,761,472.3,825,364,753,323.6
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 13:11:15, T-Mobile, , NA,In,33.847742,-116.536007, WBBDTest8, Netbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 12:58:09, T-Mobile, T-Mobile, HSPA,In,33.76874328,-116.5409946,359605043208118, Phone,104.584,1208.435,368.356,0,80.628,1528.412,458.102,0,19.201,0,1,20.174,0,1,16.283,0,1,15.596,0,1,10.952,0,1,13.925,0,1,5.238,0,5,13.26,0,5,523,4016,1240,4181,958,5668,938,3385
33.84776,-116.536,Tester 8,1001,Tribal, 04/26/2013, 13:06:57, Verizon, , NA,In,33.847742,-116.536003, WBBDTest8, Netbook,98,162,115,0,43,60,49,0,8.338,0,1,12.472,0,1,11.722,0,1,15.372,0,1,12.641,0,1,12.282,0,1,12.693,0,5,14.958,0,5,7375,14283,7015,11837,9928,14448,7010,10368
33.84776125,-116.536,Tester 8,1001,Tribal, 04/26/2013, 12:58:45, Verizon, Verizon, LTE,In,33.76874328,-116.5409946,99000024381651, Phone,107.727,237.401,153.692,0,40.215,150.81,86.763,0,18.956,0,1,23.597,0,1,26.225,0,1,16.363,0,1,10.64,0,1,22.629,0,1,42.801,0,5,20.046,0,5,5366,17491,5012,11170,6817,17208,3659,12594
33.76867775,-116.5413,Tester 8,1002,Tribal, 04/26/2013, 11:57:17, AT&T, , NA,In,33.768727,-116.541037, WBBDTest8, Netbook,153,302,196,0,73,413,200,0,20.892,0,1,16.712,0,1,20.607,0,1,12.736,0,1,19.166,0,1,17.756,0,1,21.678,0,5,22.975,0,5,1066,217,1002,1025,852,249.4,927,207.6
33.76867775,-116.5413,Tester 8,1002,Tribal, 04/26/2013, 11:54:23, AT&T, AT&T, HSPA,In,33.76872887,-116.5408989,359691045708495, Phone,124.126,201.587,162.084,0,141.218,328.705,209.607,0,14.664,0,1,14.218,0,1,14.142,0,1,17.356,0,1,19.848,0,1,22.739,0,1,13.594,0,5,18.646,0,5,667,805.5,723,1632,531,1222,1029,1254
