,Date,Provider,DeviceType,wRttAvg,wTCPUp,wTCPDown
86615,2020,AT&T,Phone,34.875,52632.0,232749.0
81422,2020,Verizon,Phone,31.17,23944.5,225408.0
80772,2020,AT&T,Phone,35.274,27481.5,220001.0
80298,2020,AT&T,Phone,33.02,30797.0,216296.5
98506,2020,Verizon,Phone,28.222,53516.5,215064.5
80946,2020,AT&T,Phone,34.807,37483.0,214791.5
93815,2020,Verizon,Phone,38.058,56111.0,211526.5
82210,2020,AT&T,Phone,40.145,28678.5,210957.0
80926,2020,AT&T,Phone,41.475,30619.0,203544.0
80682,2020,Verizon,Phone,28.573,44220.0,202788.5
88328,2020,AT&T,Phone,39.515,38121.5,200856.5
82519,2020,AT&T,Phone,45.259,46449.0,199373.5
98092,2020,AT&T,Phone,43.185,49245.0,196953.0
84208,2020,AT&T,Phone,34.209,40883.0,195089.5
83944,2020,AT&T,Phone,42.094,50649.0,193837.5
83147,2020,Verizon,Phone,35.189,50639.5,193280.5
83949,2020,AT&T,Phone,38.778,47828.5,191479.0
82365,2020,AT&T,Phone,46.085,41504.5,188607.5
98656,2020,AT&T,Phone,32.938,52166.5,187601.5
92776,2020,Verizon,Phone,41.141,55581.5,187273.5
98560,2020,Verizon,Phone,49.957,37328.0,187206.0
80358,2020,AT&T,Phone,34.144,37042.5,186180.0
79879,2020,AT&T,Phone,41.131,48288.5,186116.0
87432,2020,AT&T,Phone,52.638,28641.5,185321.5
88831,2020,AT&T,Phone,37.249,54947.5,185236.0
87706,2020,AT&T,Phone,41.619,24143.0,183039.5
93528,2020,AT&T,Phone,40.456,21330.5,182878.0
80009,2020,AT&T,Phone,40.938,23228.0,180704.0
91169,2020,Verizon,Phone,36.233,57934.0,179025.5
88707,2020,AT&T,Phone,50.356,47197.0,178021.5
83243,2020,AT&T,Phone,39.387,43829.0,177003.0
90909,2020,AT&T,Phone,37.407,48813.5,176257.0
82255,2020,AT&T,Phone,35.474,21312.5,176161.0
87362,2020,AT&T,Phone,43.945,17578.0,175757.5
87293,2020,AT&T,Phone,39.89,13318.0,175343.5
85713,2020,AT&T,Phone,43.491,29653.5,175250.5
87581,2020,AT&T,Phone,40.212,33483.0,175133.5
97487,2020,AT&T,Phone,41.778,7634.5,174843.0
80433,2020,AT&T,Phone,34.605,61749.5,174720.5
98701,2020,AT&T,Phone,34.112,54193.5,174233.5
80428,2020,AT&T,Phone,36.089,25565.0,173663.5
85102,2020,AT&T,Phone,41.919,34297.5,172978.0
80093,2020,AT&T,Phone,46.251,23189.5,172492.5
80882,2020,AT&T,Phone,41.39,45629.5,172206.5
91298,2020,Verizon,Phone,44.415,53274.0,171995.5
85378,2020,Verizon,Phone,44.732,56086.0,171855.5
83810,2020,AT&T,Phone,44.611,25952.0,170228.0
90835,2020,AT&T,Phone,43.271,40904.0,170141.5
98704,2020,T-Mobile,Phone,86.564,54008.5,169922.0
81710,2020,T-Mobile,Phone,72.953,38458.0,169876.5
95343,2020,AT&T,Phone,41.268,37568.0,169674.5
83998,2020,AT&T,Phone,39.886,36590.0,169214.0
87263,2020,AT&T,Phone,40.482,35198.5,168261.0
90468,2020,AT&T,Phone,42.381,35733.0,167933.5
80991,2020,AT&T,Phone,39.629,41675.0,167302.0
80518,2020,AT&T,Phone,40.742,50548.5,167058.0
80385,2020,Sprint,Phone,61.097,19554.5,166600.0
83780,2020,AT&T,Phone,50.436,21819.0,166489.0
80633,2020,AT&T,Phone,49.585,42385.5,166422.0
95433,2020,AT&T,Phone,39.382,40246.5,165924.5
