,Date,Provider,DeviceType,wRttAvg,wTCPUp,wTCPDown
94467,2020,AT&T,Phone,46.235,64192.5,141356.0
97561,2020,Verizon,Phone,51.336,61984.5,65326.0
80433,2020,AT&T,Phone,34.605,61749.5,174720.5
81109,2020,Verizon,Phone,52.088,61612.0,122950.0
81951,2020,Verizon,Phone,51.448,61372.5,81535.0
83331,2020,Verizon,Phone,49.282,61187.5,57991.0
82908,2020,Verizon,Phone,66.706,61142.5,46310.5
86754,2020,Verizon,Phone,39.221,60743.0,160805.5
95750,2020,Verizon,Phone,50.863,60534.0,69359.5
88124,2020,Verizon,Phone,43.638,60336.0,60560.0
90665,2020,Verizon,Phone,55.901,60198.5,76212.0
81947,2020,AT&T,Phone,42.256,60181.0,160392.0
85842,2020,Verizon,Phone,34.872,60003.0,140840.0
86879,2020,Verizon,Phone,36.089,59839.5,81000.0
81436,2020,Verizon,Phone,38.018,59783.0,89250.5
96507,2020,Verizon,Phone,43.293,59688.0,95887.0
97447,2020,AT&T,Phone,45.281,59628.0,104685.5
81045,2020,Verizon,Phone,39.747,59624.5,150864.0
90126,2020,AT&T,Phone,49.205,59594.5,125769.0
98302,2020,AT&T,Phone,39.396,59588.0,105625.0
89233,2020,Verizon,Phone,58.256,59436.5,66666.5
79583,2020,Verizon,Phone,37.899,59431.5,81190.0
95487,2020,Verizon,Phone,40.756,59311.5,117689.0
98541,2020,Verizon,Phone,39.519,59260.0,82637.0
90661,2020,AT&T,Phone,49.902,59041.0,127304.0
85000,2020,AT&T,Phone,57.331,59012.5,142842.5
87168,2020,Verizon,Phone,50.033,58829.5,115869.5
95109,2020,Verizon,Phone,53.167,58514.5,44424.5
95138,2020,Verizon,Phone,52.737,58127.0,62240.5
80552,2020,Verizon,Phone,45.334,58089.5,113891.5
91169,2020,Verizon,Phone,36.233,57934.0,179025.5
81188,2020,T-Mobile,Phone,70.032,57880.0,71191.5
88760,2020,Verizon,Phone,52.876,57720.5,59973.5
90437,2020,Verizon,Phone,57.654,57696.0,78092.0
85838,2020,AT&T,Phone,36.144,57672.5,69053.0
80686,2020,T-Mobile,Phone,70.087,57623.5,135460.5
84313,2020,AT&T,Phone,39.828,57537.0,138927.5
88277,2020,Verizon,Phone,41.329,57512.0,67125.5
88939,2020,T-Mobile,Phone,65.951,57500.0,150555.0
83650,2020,Verizon,Phone,37.273,57469.5,86731.5
83397,2020,AT&T,Phone,33.149,57412.5,164797.5
95387,2020,Verizon,Phone,57.888,57397.0,63364.0
84668,2020,Verizon,Phone,43.999,57250.5,69627.5
87486,2020,Verizon,Phone,51.897,57194.5,71693.0
83127,2020,Verizon,Phone,44.931,56973.0,67788.5
88756,2020,AT&T,Phone,44.562,56862.5,98739.0
98630,2020,Verizon,Phone,52.444,56855.0,138710.5
89867,2020,Verizon,Phone,60.576,56559.0,72763.0
80257,2020,Verizon,Phone,38.286,56520.5,88814.5
87297,2020,Verizon,Phone,38.7,56484.0,63939.5
86854,2020,Verizon,Phone,45.535,56343.5,76031.0
88850,2020,Verizon,Phone,43.889,56338.5,105829.0
91917,2020,Verizon,Phone,53.247,56276.5,50157.0
81000,2020,Verizon,Phone,53.861,56252.5,123468.5
97461,2020,Verizon,Phone,40.328,56238.5,77848.5
83121,2020,T-Mobile,Phone,81.15,56168.0,147329.0
93815,2020,Verizon,Phone,38.058,56111.0,211526.5
88133,2020,Verizon,Phone,54.119,56109.5,27738.5
81302,2020,T-Mobile,Phone,64.934,56106.5,89431.0
85378,2020,Verizon,Phone,44.732,56086.0,171855.5
82858,2020,Verizon,Phone,37.007,56047.0,56613.5
88078,2020,T-Mobile,Phone,71.055,56037.0,147619.0
91006,2020,Verizon,Phone,52.704,55908.0,60749.0
93606,2020,Verizon,Phone,47.293,55877.0,122387.0
91234,2020,T-Mobile,Phone,74.288,55851.0,86482.0
97962,2020,AT&T,Phone,52.505,55849.5,85087.5
98544,2020,T-Mobile,Phone,75.661,55845.5,56391.0
98854,2020,T-Mobile,Phone,89.212,55749.5,121830.0
88148,2020,Verizon,Phone,34.252,55717.5,137147.5
92776,2020,Verizon,Phone,41.141,55581.5,187273.5
89174,2020,Verizon,Phone,46.71,55566.0,82486.0
84051,2020,T-Mobile,Phone,64.805,55559.5,106154.0
80323,2020,AT&T,Phone,40.214,55469.5,146266.5
90557,2020,AT&T,Phone,50.049,55460.0,126226.5
86584,2020,Verizon,Phone,41.332,55329.0,81461.5
79933,2020,Verizon,Phone,49.854,55316.0,85929.0
87436,2020,Verizon,Phone,43.56,55306.0,121063.0
85046,2020,Verizon,Phone,57.911,55247.5,57598.5
90302,2020,T-Mobile,Phone,82.366,55191.0,82822.0
85188,2020,AT&T,Phone,59.738,55185.0,38452.5
89086,2020,AT&T,Phone,41.258,55080.5,156007.5
88347,2020,Verizon,Phone,32.333,54968.0,94863.0
88831,2020,AT&T,Phone,37.249,54947.5,185236.0
90982,2020,Verizon,Phone,77.917,54926.0,96079.0
92771,2020,Verizon,Phone,74.683,54913.0,74091.0
90559,2020,T-Mobile,Phone,76.385,54911.5,48600.0
86733,2020,T-Mobile,Phone,66.813,54895.0,75876.0
81746,2020,Verizon,Phone,46.29,54867.0,53094.5
91327,2020,AT&T,Phone,37.867,54857.0,96482.0
98067,2020,AT&T,Phone,52.051,54812.5,48106.5
91015,2020,Verizon,Phone,52.368,54779.0,26366.5
80593,2020,AT&T,Phone,41.075,54696.0,113983.0
87973,2020,T-Mobile,Phone,67.377,54649.0,92551.0
88103,2020,T-Mobile,Phone,81.646,54619.5,111322.5
94776,2020,AT&T,Phone,40.336,54589.0,76062.0
80770,2020,T-Mobile,Phone,101.505,54579.0,80343.5
79557,2020,T-Mobile,Phone,58.87,54544.0,96237.5
81726,2020,Verizon,Phone,34.292,54534.0,123482.5
86614,2020,Verizon,Phone,44.214,54533.5,89494.0
88677,2020,Verizon,Phone,46.66,54468.5,61903.0
82947,2020,Verizon,Phone,39.933,54397.5,153426.0
97450,2020,T-Mobile,Phone,57.893,54311.5,85108.0
98701,2020,AT&T,Phone,34.112,54193.5,174233.5
88895,2020,Verizon,Phone,53.053,54159.0,53361.5
82728,2020,Verizon,Phone,54.313,54100.0,84082.5
83993,2020,AT&T,Phone,41.633,54020.0,164732.5
80841,2020,Verizon,Phone,35.567,54019.0,32347.5
98704,2020,T-Mobile,Phone,86.564,54008.5,169922.0
93711,2020,Verizon,Phone,63.236,53989.5,30017.0
80318,2020,AT&T,Phone,42.266,53953.5,164944.0
89150,2020,AT&T,Phone,42.152,53903.5,127601.5
81159,2020,Verizon,Phone,40.538,53898.5,127419.0
83897,2020,T-Mobile,Phone,65.233,53784.0,77040.0
80785,2020,T-Mobile,Phone,78.159,53720.0,74201.5
95562,2020,Verizon,Phone,31.947,53692.0,70332.5
80437,2020,Verizon,Phone,36.668,53666.0,46793.0
90838,2020,T-Mobile,Phone,71.607,53570.5,83728.0
81664,2020,Sprint,Phone,35.987,53516.5,107795.5
94279,2020,AT&T,Phone,41.81,53516.5,119232.5
98506,2020,Verizon,Phone,28.222,53516.5,215064.5
80371,2020,T-Mobile,Phone,78.887,53448.0,69898.5
89294,2020,AT&T,Phone,49.885,53430.0,140774.5
82269,2020,Verizon,Phone,61.111,53427.0,70720.0
96059,2020,T-Mobile,Phone,93.102,53392.0,29304.5
93841,2020,AT&T,Phone,48.586,53350.0,135526.5
91298,2020,Verizon,Phone,44.415,53274.0,171995.5
94249,2020,Verizon,Phone,45.499,53241.0,141929.5
81034,2020,T-Mobile,Phone,68.365,53227.0,42503.5
95397,2020,Verizon,Phone,35.556,53131.5,34780.0
95342,2020,Verizon,Phone,39.808,53129.0,120394.0
86974,2020,Verizon,Phone,51.613,52999.0,103541.5
86603,2020,T-Mobile,Phone,76.035,52948.0,54829.5
79803,2020,Verizon,Phone,50.91,52863.5,48625.5
80775,2020,T-Mobile,Phone,77.971,52778.0,138206.0
80132,2020,Verizon,Phone,36.45,52765.0,93479.5
79612,2020,T-Mobile,Phone,65.371,52764.5,73724.5
82100,2020,Verizon,Phone,32.707,52751.5,107473.5
81820,2020,T-Mobile,Phone,87.635,52713.0,64739.0
86615,2020,AT&T,Phone,34.875,52632.0,232749.0
90433,2020,AT&T,Phone,55.201,52560.0,65558.0
80521,2020,T-Mobile,Phone,66.243,52501.0,150879.5
84087,2020,Verizon,Phone,30.515,52451.5,137074.0
97261,2020,Verizon,Phone,50.536,52332.5,37139.0
80002,2020,T-Mobile,Phone,91.767,52322.5,88217.5
83615,2020,Verizon,Phone,40.003,52305.5,82369.0
91235,2020,Verizon,Phone,51.432,52277.0,52364.0
81950,2020,T-Mobile,Phone,68.537,52241.5,73684.5
84053,2020,AT&T,Phone,30.076,52231.5,163070.5
84331,2020,Verizon,Phone,51.493,52212.5,84227.0
80636,2020,T-Mobile,Phone,85.624,52170.0,110569.0
98656,2020,AT&T,Phone,32.938,52166.5,187601.5
88815,2020,Verizon,Phone,45.717,52150.0,46922.0
80302,2020,Verizon,Phone,35.278,52102.0,53362.5
80637,2020,Verizon,Phone,37.298,52098.5,59722.0
87779,2020,Verizon,Phone,51.07,51995.5,56885.5
80930,2020,Verizon,Phone,55.545,51890.5,90725.5
87303,2020,AT&T,Phone,40.795,51872.5,141711.0
88346,2020,T-Mobile,Phone,74.329,51870.0,70979.0
98210,2020,T-Mobile,Phone,70.58,51841.0,55714.0
82069,2020,T-Mobile,Phone,75.789,51830.5,52602.5
86580,2020,AT&T,Phone,45.953,51830.0,85017.5
98644,2020,T-Mobile,Phone,86.451,51825.0,43964.0
91777,2020,AT&T,Phone,47.551,51742.0,133537.5
97571,2020,Verizon,Phone,50.322,51730.5,29736.5
81641,2020,Verizon,Phone,41.603,51706.0,52324.5
80513,2020,AT&T,Phone,41.996,51605.0,78067.5
98362,2020,AT&T,Phone,43.063,51536.5,104724.5
79919,2020,AT&T,Phone,42.01,51531.0,63672.0
80910,2020,T-Mobile,Phone,84.764,51509.0,107294.0
87008,2020,T-Mobile,Phone,64.149,51501.5,109014.0
82942,2020,Verizon,Phone,46.935,51476.5,82134.0
94765,2020,Verizon,Phone,61.37,51437.0,58745.0
84147,2020,Verizon,Phone,52.216,51366.0,42044.0
88759,2020,T-Mobile,Phone,67.122,51318.5,56777.0
98635,2020,Verizon,Phone,33.435,51295.5,133804.0
88612,2020,Verizon,Phone,53.14,51285.0,86312.0
84048,2020,AT&T,Phone,40.541,51236.0,127536.0
80337,2020,Verizon,Phone,67.703,51221.5,48606.0
92929,2020,Verizon,Phone,43.647,51071.0,63520.5
81185,2020,AT&T,Phone,59.199,51060.0,97673.5
80551,2020,T-Mobile,Phone,84.901,50999.0,89899.0
86227,2020,AT&T,Phone,41.096,50971.0,134186.5
86583,2020,T-Mobile,Phone,73.894,50949.0,118787.0
96056,2020,AT&T,Phone,48.014,50931.0,146973.5
89203,2020,Verizon,Phone,42.884,50892.5,121195.5
81073,2020,T-Mobile,Phone,77.744,50802.0,75307.5
97922,2020,AT&T,Phone,44.935,50671.0,147388.0
83944,2020,AT&T,Phone,42.094,50649.0,193837.5
83147,2020,Verizon,Phone,35.189,50639.5,193280.5
80980,2020,Verizon,Phone,42.098,50550.0,109835.0
80518,2020,AT&T,Phone,40.742,50548.5,167058.0
81118,2020,T-Mobile,Phone,97.28,50506.0,108511.5
94643,2020,Verizon,Phone,53.269,50425.5,72295.5
94003,2020,AT&T,Phone,37.46,50337.0,115022.5
94429,2020,Sprint,Phone,54.631,50251.5,44177.0
80618,2020,AT&T,Phone,35.627,50224.5,114595.5
88168,2020,Verizon,Phone,42.471,50211.5,71157.5
81084,2020,Verizon,Phone,148.82,50194.5,13337.0
87425,2020,T-Mobile,Phone,77.43,50096.0,53621.0
85009,2020,Verizon,Phone,67.267,50079.5,84438.0
97631,2020,Verizon,Phone,42.806,50043.5,51118.0
85377,2020,T-Mobile,Phone,81.148,50022.0,92867.0
97927,2020,AT&T,Phone,46.414,50018.0,106848.0
83898,2020,Verizon,Phone,50.591,49997.0,71651.0
80057,2020,Verizon,Phone,55.704,49971.5,53448.0
97442,2020,AT&T,Phone,46.671,49943.0,142269.0
94077,2020,Verizon,Phone,198.664,49905.5,24872.0
88668,2020,AT&T,Phone,50.23,49899.0,70681.0
91293,2020,Verizon,Phone,35.592,49883.0,50569.5
93605,2020,T-Mobile,Phone,88.806,49879.5,44687.0
98486,2020,Verizon,Phone,60.905,49846.0,48105.0
89153,2020,T-Mobile,Phone,65.526,49676.5,101883.5
80726,2020,T-Mobile,Phone,67.848,49663.5,126312.0
90253,2020,Verizon,Phone,76.579,49589.5,79965.0
87211,2020,T-Mobile,Phone,104.821,49572.5,43368.5
83351,2020,Verizon,Phone,33.62,49522.5,109273.5
94051,2020,T-Mobile,Phone,71.345,49446.5,99135.0
94358,2020,Verizon,Phone,47.374,49373.0,110077.0
98791,2020,AT&T,Phone,46.349,49357.5,60024.5
98610,2020,Verizon,Phone,36.295,49350.5,75495.0
89199,2020,AT&T,Phone,41.042,49347.0,114965.0
83912,2020,T-Mobile,Phone,82.319,49264.5,84715.0
88079,2020,Verizon,Phone,33.934,49261.0,100588.0
98092,2020,AT&T,Phone,43.185,49245.0,196953.0
88930,2020,Verizon,Phone,60.377,49227.0,56989.0
81412,2020,Verizon,Phone,30.22,49214.0,114638.0
82542,2020,T-Mobile,Phone,72.116,49155.0,129522.5
89238,2020,Verizon,Phone,38.328,49079.5,66050.5
98604,2020,T-Mobile,Phone,100.543,48911.5,54958.0
95317,2020,Verizon,Phone,35.92,48855.0,117756.0
80221,2020,T-Mobile,Phone,71.693,48850.5,129516.0
83630,2020,Verizon,Phone,45.799,48831.5,83058.0
90909,2020,AT&T,Phone,37.407,48813.5,176257.0
79482,2020,T-Mobile,Phone,73.541,48801.5,44801.5
79922,2020,T-Mobile,Phone,63.969,48778.0,58418.0
83818,2020,T-Mobile,Phone,81.148,48756.5,79305.0
81665,2020,T-Mobile,Phone,86.558,48721.5,104269.5
91173,2020,Verizon,Phone,59.144,48713.5,60377.0
80782,2020,AT&T,Phone,35.918,48696.0,95339.5
85822,2020,Verizon,Phone,32.729,48685.5,61602.0
81841,2020,Verizon,Phone,43.874,48648.5,142483.5
92916,2020,AT&T,Phone,41.712,48646.5,90334.0
89173,2020,T-Mobile,Phone,82.755,48587.0,106660.5
95368,2020,AT&T,Phone,41.684,48582.0,165642.5
80171,2020,T-Mobile,Phone,89.452,48550.0,67809.5
94717,2020,T-Mobile,Phone,70.385,48393.0,10582.5
83894,2020,AT&T,Phone,42.758,48366.0,59846.0
79879,2020,AT&T,Phone,41.131,48288.5,186116.0
84791,2020,AT&T,Phone,41.714,48274.0,118820.0
87186,2020,T-Mobile,Phone,74.91,48176.5,45496.5
86719,2020,Verizon,Phone,36.093,48145.5,52325.5
98795,2020,Verizon,Phone,35.387,48129.5,106414.0
80322,2020,Verizon,Phone,50.673,48109.5,42996.5
87879,2020,Verizon,Phone,36.074,48095.0,66753.5
84882,2020,Verizon,Phone,62.56,48091.0,65793.0
86540,2020,AT&T,Phone,40.544,48091.0,116662.5
93136,2020,Verizon,Phone,38.866,48071.5,90496.0
84316,2020,T-Mobile,Phone,67.913,48070.0,119247.0
81124,2020,Verizon,Phone,43.065,48064.5,51534.0
81797,2020,AT&T,Phone,35.097,48062.5,106889.0
94071,2020,T-Mobile,Phone,67.721,48017.0,102025.5
80767,2020,AT&T,Phone,41.113,47920.5,165122.5
83330,2020,T-Mobile,Phone,90.189,47915.0,73112.5
94823,2020,Verizon,Phone,55.202,47893.0,56667.0
87307,2020,Verizon,Phone,53.682,47842.0,86178.0
83949,2020,AT&T,Phone,38.778,47828.5,191479.0
86840,2020,AT&T,Phone,33.873,47812.5,57184.0
83833,2020,Verizon,Phone,52.931,47759.0,41687.0
88167,2020,T-Mobile,Phone,67.214,47750.0,33234.0
81426,2020,Verizon,Phone,53.215,47687.0,74126.5
81711,2020,Verizon,Phone,37.086,47632.5,102630.5
80989,2020,T-Mobile,Phone,69.069,47603.5,123793.5
80096,2020,T-Mobile,Phone,83.717,47560.0,78184.0
85322,2020,T-Mobile,Phone,78.444,47526.5,110520.5
82743,2020,Verizon,Phone,45.682,47484.0,62664.5
92926,2020,AT&T,Phone,52.45,47361.0,117107.5
88715,2020,Verizon,Phone,59.434,47351.0,63360.0
88217,2020,Verizon,Phone,157.61,47318.5,22818.5
90755,2020,Verizon,Phone,45.007,47277.0,56340.0
87009,2020,Verizon,Phone,50.827,47273.0,73336.0
81218,2020,Verizon,Phone,48.344,47270.0,72932.0
95588,2020,AT&T,Phone,36.583,47261.5,162216.0
87595,2020,Verizon,Phone,52.427,47255.0,73626.0
89152,2020,Sprint,Phone,72.612,47236.0,110726.0
98609,2020,T-Mobile,Phone,65.861,47226.5,31824.0
88707,2020,AT&T,Phone,50.356,47197.0,178021.5
95396,2020,T-Mobile,Phone,74.523,47180.0,98666.5
81248,2020,Verizon,Phone,48.825,47148.5,62958.5
93799,2020,T-Mobile,Phone,91.314,47107.0,57529.5
95272,2020,T-Mobile,Phone,59.219,47073.5,46829.5
88672,2020,Verizon,Phone,61.655,47059.5,76245.5
87312,2020,Verizon,Phone,53.953,47047.5,49750.5
91087,2020,AT&T,Phone,48.148,46986.5,105009.5
88779,2020,T-Mobile,Phone,64.068,46939.5,81247.0
86585,2020,AT&T,Phone,37.253,46875.0,44653.0
80328,2020,AT&T,Phone,38.012,46826.5,159522.0
90716,2020,AT&T,Phone,50.614,46733.0,126629.0
95506,2020,T-Mobile,Phone,76.325,46732.5,49622.0
82354,2020,Verizon,Phone,47.629,46730.5,48747.0
95496,2020,T-Mobile,Phone,59.666,46662.0,123307.5
95452,2020,Verizon,Phone,40.224,46614.0,92018.0
82503,2020,Verizon,Phone,55.802,46509.0,74244.5
82519,2020,AT&T,Phone,45.259,46449.0,199373.5
88537,2020,Verizon,Phone,34.933,46443.5,551.0
95322,2020,Verizon,Phone,41.641,46413.5,101649.5
97845,2020,T-Mobile,Phone,66.999,46404.0,78484.0
85407,2020,T-Mobile,Phone,88.324,46356.0,11063.5
80820,2020,T-Mobile,Phone,62.161,46327.5,109628.5
95538,2020,AT&T,Phone,38.561,46324.5,100224.0
86514,2020,Verizon,Phone,33.287,46259.0,88175.0
83674,2020,T-Mobile,Phone,65.405,46196.0,25699.5
83081,2020,T-Mobile,Phone,69.168,46192.0,25688.0
82214,2020,Verizon,Phone,54.912,46119.0,26454.5
85313,2020,T-Mobile,Phone,75.399,46025.5,59163.5
95229,2020,AT&T,Phone,42.369,46024.5,86858.0
87268,2020,AT&T,Phone,44.21,46021.0,64950.5
80900,2020,T-Mobile,Phone,62.601,45985.0,84580.5
86885,2020,AT&T,Phone,47.719,45916.0,100160.5
81817,2020,AT&T,Phone,49.219,45912.0,69632.5
83914,2020,AT&T,Phone,38.904,45866.5,88007.5
87570,2020,Verizon,Phone,35.368,45840.5,42332.5
80361,2020,T-Mobile,Phone,64.699,45794.5,88981.0
95302,2020,Verizon,Phone,35.734,45768.5,66307.0
82477,2020,T-Mobile,Phone,72.134,45764.0,52893.0
97541,2020,Verizon,Phone,52.535,45758.0,135302.0
83168,2020,AT&T,Phone,63.016,45697.5,41686.5
88438,2020,AT&T,Phone,42.696,45696.5,91913.5
80882,2020,AT&T,Phone,41.39,45629.5,172206.5
